4,1,11
5,1,54
6,1,146
7,1,68
11,1,98
12,1,53
14,1,80
16,1,68
18,1,103
19,1,149
22,1,145
23,1,47
24,1,30
25,1,128
27,1,83
28,1,132
29,1,148
31,1,6
34,1,57
36,1,75
37,1,124
38,1,86
39,1,103
41,1,135
42,1,56
45,1,106
46,1,114
47,1,37
49,1,78
50,1,39
52,1,4
56,1,131
59,1,100
60,1,134
61,1,141
62,1,66
64,1,80
65,1,48
66,1,105
69,1,144
70,1,102
72,1,123
73,1,135
76,1,132
78,1,11
79,1,116
80,1,70
86,1,144
91,1,71
92,1,8
93,1,18
94,1,33
96,1,119
98,1,36
99,1,139
4,2,60
8,2,79
12,2,59
13,2,108
14,2,139
17,2,101
18,2,73
20,2,119
21,2,2
23,2,136
24,2,22
25,2,114
26,2,1
27,2,25
31,2,5
32,2,49
35,2,127
36,2,118
38,2,73
40,2,59
43,2,63
44,2,130
46,2,66
49,2,146
50,2,106
51,2,132
52,2,24
54,2,47
56,2,126
57,2,44
59,2,125
63,2,134
64,2,21
67,2,106
68,2,24
69,2,16
72,2,144
73,2,2
75,2,31
76,2,26
77,2,134
78,2,46
79,2,138
80,2,149
82,2,6
84,2,41
86,2,4
88,2,34
89,2,128
91,2,86
92,2,24
94,2,31
98,2,100
100,2,47
5,3,51
6,3,50
7,3,46
10,3,37
11,3,35
12,3,35
16,3,75
21,3,103
22,3,132
23,3,30
24,3,59
26,3,83
27,3,37
29,3,92
31,3,42
32,3,58
34,3,63
37,3,33
40,3,74
42,3,76
44,3,39
46,3,66
48,3,21
50,3,101
51,3,81
52,3,87
53,3,37
55,3,72
56,3,24
58,3,18
61,3,119
66,3,60
67,3,75
68,3,49
72,3,57
73,3,60
74,3,110
77,3,72
78,3,98
79,3,92
82,3,109
83,3,128
89,3,19
93,3,147
94,3,32
95,3,8
96,3,133
97,3,13
98,3,17
100,3,34
1,4,127
2,4,40
6,4,1
8,4,119
9,4,8
10,4,92
11,4,16
12,4,37
13,4,60
14,4,122
15,4,107
18,4,114
19,4,144
20,4,114
22,4,144
23,4,42
24,4,102
27,4,131
29,4,11
32,4,77
34,4,35
35,4,120
36,4,52
37,4,5
38,4,133
39,4,112
40,4,60
42,4,147
43,4,119
44,4,43
45,4,4
47,4,138
49,4,95
50,4,66
53,4,5
58,4,16
60,4,126
64,4,70
65,4,105
66,4,123
68,4,46
70,4,47
72,4,88
74,4,109
77,4,7
80,4,36
81,4,77
83,4,36
85,4,64
86,4,150
93,4,143
95,4,108
97,4,71
98,4,120
99,4,6
1,5,84
3,5,130
5,5,61
7,5,110
8,5,2
9,5,40
12,5,110
13,5,38
16,5,36
17,5,35
19,5,7
21,5,80
23,5,54
24,5,97
25,5,49
26,5,128
27,5,61
28,5,32
29,5,93
34,5,60
38,5,35
39,5,33
40,5,3
43,5,45
45,5,113
46,5,58
48,5,56
50,5,2
54,5,50
55,5,13
56,5,69
58,5,48
60,5,139
61,5,83
62,5,46
66,5,8
71,5,6
72,5,113
76,5,54
77,5,41
78,5,133
79,5,111
80,5,142
86,5,63
87,5,15
89,5,61
90,5,17
91,5,71
94,5,107
96,5,150
99,5,115
100,5,58
1,6,29
3,6,63
4,6,96
7,6,13
8,6,6
10,6,4
11,6,128
12,6,28
14,6,53
20,6,141
23,6,39
25,6,121
27,6,100
28,6,104
32,6,147
35,6,92
37,6,30
38,6,138
39,6,93
40,6,24
41,6,54
42,6,93
43,6,15
46,6,129
51,6,19
57,6,78
60,6,30
61,6,18
62,6,58
63,6,144
64,6,81
65,6,103
69,6,139
72,6,37
73,6,16
75,6,64
78,6,85
80,6,67
82,6,64
84,6,118
86,6,141
88,6,55
89,6,56
90,6,114
92,6,13
93,6,123
95,6,119
1,7,34
3,7,79
5,7,48
6,7,82
8,7,105
9,7,8
11,7,144
12,7,146
14,7,19
15,7,55
16,7,55
17,7,113
18,7,127
19,7,42
20,7,136
22,7,6
23,7,70
25,7,90
26,7,99
28,7,96
30,7,74
33,7,85
36,7,119
37,7,126
38,7,109
40,7,34
42,7,12
46,7,98
48,7,106
49,7,78
50,7,128
54,7,140
56,7,12
57,7,57
59,7,27
65,7,18
66,7,91
68,7,110
70,7,81
71,7,111
72,7,148
74,7,42
75,7,106
76,7,88
77,7,148
78,7,49
83,7,144
84,7,7
85,7,10
87,7,18
88,7,50
89,7,104
90,7,76
91,7,138
93,7,34
94,7,18
97,7,78
98,7,86
99,7,83
100,7,96
2,8,40
4,8,76
5,8,12
6,8,34
7,8,103
9,8,60
11,8,89
14,8,62
15,8,30
17,8,42
18,8,114
20,8,70
22,8,96
24,8,38
27,8,98
29,8,71
30,8,70
35,8,62
36,8,114
37,8,15
41,8,133
42,8,117
46,8,57
49,8,56
50,8,66
52,8,116
53,8,117
54,8,70
55,8,104
61,8,140
62,8,63
63,8,113
64,8,4
65,8,128
66,8,18
67,8,21
68,8,49
69,8,133
70,8,77
73,8,89
74,8,146
76,8,81
80,8,71
81,8,66
82,8,33
84,8,103
86,8,139
89,8,41
94,8,4
95,8,93
96,8,5
97,8,134
99,8,44
4,9,8
5,9,33
7,9,17
8,9,91
10,9,29
11,9,125
13,9,65
16,9,110
19,9,29
21,9,30
23,9,38
25,9,2
26,9,67
27,9,83
28,9,64
29,9,101
31,9,43
32,9,134
34,9,123
36,9,111
37,9,115
39,9,67
41,9,89
43,9,10
44,9,46
47,9,52
48,9,22
49,9,107
50,9,17
51,9,137
52,9,132
54,9,146
55,9,82
60,9,96
61,9,149
62,9,82
63,9,70
64,9,4
66,9,9
69,9,109
70,9,77
71,9,83
72,9,2
75,9,92
76,9,140
84,9,98
85,9,103
86,9,74
87,9,4
89,9,11
90,9,114
